,County,Population Total,Caucasian_x,African American_x,Native American_x,Asian_x,Hawaiian,Hispanic_x,Other_x,Poverty Total,Caucasian_y,African American_y,Native American_y,Asian_y,Native Hawaiian,Other_y,Hispanic_y
0,ANOKA ,353775,283436,23534,1788,16082,86,16769,12080,20270,11778,3697,327,953,0,1964,1551
1,BECKER ,34227,29290,146,1938,209,6,738,1900,3588,2296,17,709,45,0,381,140
2,BELTRAMI ,46784,33506,399,8920,295,36,1114,2514,8167,3657,310,3056,39,0,734,371
3,BENTON ,40476,35979,1876,49,378,0,1086,1108,3357,2605,333,19,73,0,205,122
4,BIG STONE ,4974,4787,3,3,0,0,102,79,596,596,0,0,0,0,0,0
5,BLUE EARTH ,67368,58852,2794,139,1516,15,2579,1473,10510,8047,756,32,547,0,671,457
6,BROWN ,25076,23354,179,65,166,0,1132,180,1687,1064,12,48,22,0,257,284
7,CARLTON ,35709,31459,909,1462,231,0,638,1010,3677,2695,236,367,20,0,239,120
8,CARVER ,103561,91429,1820,234,3167,6,4419,2486,3476,2819,321,32,130,6,33,135
9,CASS ,29462,23697,125,2740,155,5,683,2057,3775,2243,30,994,13,0,348,147
10,CHIPPEWA ,11876,10285,121,188,139,160,900,83,1138,512,50,151,52,41,112,220
11,CHISAGO ,55844,51758,662,309,621,14,1283,1197,3490,2877,15,13,92,7,225,261
12,WATONWAN ,10903,7782,35,0,181,0,2819,86,1366,459,0,0,16,0,284,607
13,WADENA ,13681,12699,109,50,44,0,276,503,1949,1742,75,33,3,0,89,7
14,CLAY ,64029,55375,2508,916,892,123,2976,1239,7835,5223,1228,340,362,62,243,377
15,CLEARWATER ,8872,7512,17,645,50,0,202,446,1239,762,1,330,4,0,113,29
16,COOK ,5402,4592,2,495,53,1,129,130,543,305,0,68,8,0,82,80
17,COTTONWOOD ,11279,9631,26,13,504,75,901,129,1295,935,4,8,117,0,84,147
18,CROW WING ,64775,61215,538,534,276,0,969,1243,6359,5803,192,113,3,0,192,56
19,DAKOTA ,425271,328845,26711,825,20899,133,31069,16789,24475,10699,3958,147,1200,0,3446,5025
20,DODGE ,20807,19042,30,57,193,4,1043,438,982,623,16,19,8,0,161,155
21,DOUGLAS ,37820,36193,83,63,78,116,652,635,2931,2691,5,11,47,0,16,161
22,FARIBAULT ,13727,12376,39,27,49,0,976,260,1453,1095,0,2,7,0,74,275
23,FILLMORE ,21031,20087,97,9,115,0,364,359,1923,1724,25,1,3,0,69,101
24,GOODHUE ,46330,42182,544,358,350,0,1616,1280,3899,3199,226,91,57,0,292,34
25,GRANT ,5962,5658,16,20,1,0,142,125,556,502,3,0,0,0,15,36
26,HOUSTON ,18670,17695,193,22,102,2,229,427,1393,1212,42,1,0,0,32,106
27,HUBBARD ,21287,19714,112,447,97,0,495,422,2379,1708,42,135,27,0,235,232
28,ITASCA ,45180,40966,231,1396,150,52,708,1677,5415,4492,51,523,39,0,226,84
29,KANABEC ,16205,15335,35,76,116,0,268,375,1505,1272,2,15,21,2,70,123
30,KANDIYOHI ,42909,33945,2210,102,347,0,5365,940,4321,2013,1012,100,72,0,289,835
31,KOOCHICHING ,12355,11254,70,299,52,0,164,516,1463,1233,34,107,32,0,49,8
32,LAC QUI PARLE ,6645,6288,34,15,59,0,157,92,589,440,3,0,11,0,69,66
33,LAKE OF THE WOODS ,3747,3447,3,69,3,0,3,222,363,256,1,69,0,0,36,1
34,LE SUEUR ,28425,25815,198,80,91,2,1796,443,2268,1396,101,18,2,0,181,570
35,LYON ,25696,21338,745,32,1217,2,1821,541,3165,1088,170,22,234,1,776,874
36,MCLEOD ,35788,32371,227,94,218,0,2317,561,2527,1473,20,50,3,0,393,588
37,MARSHALL ,9353,8716,39,29,28,0,424,117,634,526,1,0,1,0,32,74
38,MARTIN ,19737,18262,81,58,85,16,946,289,2524,1938,49,0,18,2,187,330
39,MILLE LACS ,25963,23000,103,1185,134,17,659,865,2811,2225,33,330,0,0,190,33
40,MORRISON ,33119,31638,53,31,111,0,585,701,3359,2961,12,6,53,0,276,51
41,MURRAY ,8247,7622,29,22,112,0,353,109,572,469,7,0,4,0,10,82
42,NICOLLET ,34176,30080,836,10,507,0,1595,1148,2699,1662,469,8,47,0,336,177
43,NORMAN ,6466,5766,46,141,34,0,342,137,590,486,16,20,5,0,9,54
44,OLMSTED ,156446,123695,9960,382,9239,112,7919,5139,12377,5929,3711,17,636,14,723,1347
45,PENNINGTON ,14110,12742,196,259,129,0,564,220,1466,1300,1,66,30,0,31,38
46,PINE ,29254,25970,599,695,199,10,871,910,2914,2453,14,157,27,0,150,113
47,POLK ,31384,26929,711,366,303,5,2091,979,3563,2180,154,92,7,0,436,694
48,POPE ,11107,10573,46,28,78,0,186,196,915,836,8,3,1,0,11,56
49,RED LAKE ,4005,3683,29,72,0,0,152,69,427,354,4,33,0,0,14,22
50,REDWOOD ,15193,13167,92,636,395,0,547,356,1386,995,0,92,96,0,147,56
51,RICE ,66549,54255,3792,208,1393,30,5503,1368,5907,2299,1145,26,117,0,1171,1149
52,ROCK ,9386,8752,56,77,102,0,301,98,868,809,0,14,0,0,9,36
53,ST. LOUIS ,199499,180204,3021,3310,1900,69,3580,7415,26357,20981,972,1427,480,19,1923,555
54,SCOTT ,147201,117972,6257,622,8601,1,7797,5951,7700,3844,1714,78,498,0,476,1090
55,SIBLEY ,14871,13091,137,37,99,0,1355,152,1110,741,2,6,14,3,72,272
56,STEARNS ,159788,135291,10932,289,3410,0,5557,4309,18463,10417,4749,30,872,5,1448,942
57,STEVENS ,9770,8468,102,142,220,0,663,175,1184,765,37,86,118,19,77,82
58,SWIFT ,9329,8417,148,38,30,81,491,124,1034,508,53,37,0,78,121,237
59,TRAVERSE ,3282,2878,8,185,4,0,120,87,282,151,3,38,0,0,39,51
60,WABASHA ,21564,20379,109,67,129,0,652,228,1623,1170,24,17,38,0,135,239
61,WASECA ,18658,16601,258,255,149,0,1148,247,1418,892,115,4,14,0,159,234
62,WASHINGTON ,259072,211750,12069,646,15852,139,11229,7387,11134,7331,1264,88,741,10,776,924
63,WILKIN ,6264,5819,56,54,5,0,199,131,633,414,0,0,0,0,120,99
64,WINONA ,50744,46137,586,164,1322,0,1532,1003,6268,5399,87,80,218,0,219,265
65,WRIGHT ,136387,125212,2360,287,1735,8,4224,2561,6841,5287,110,30,160,0,693,561
66,YELLOW MEDICINE ,9775,8725,68,229,49,0,468,236,881,722,20,30,0,0,56,53
67,AITKIN ,15826,14831,61,327,40,9,216,342,1912,1711,13,82,0,0,61,45
68,FREEBORN ,30465,25706,335,41,784,0,3066,533,2916,1888,132,77,339,0,167,313
69,HENNEPIN ,1255296,852045,163432,6801,89753,360,87216,55689,125264,39390,44032,2676,7584,56,16413,15113
70,ISANTI ,40004,37408,196,89,637,5,871,798,2989,2555,40,35,0,0,61,298
71,JACKSON ,9873,9082,26,3,219,0,377,166,731,564,1,0,75,0,27,64
72,KITTSON ,4272,4053,31,18,39,0,83,48,490,440,12,0,11,0,17,10
73,LAKE ,10571,10085,65,56,14,0,156,195,829,760,25,9,0,0,30,5
74,LINCOLN ,5641,5394,13,10,31,0,119,74,615,562,0,3,0,0,32,18
75,MAHNOMEN ,5508,2468,40,1963,19,5,257,756,1130,209,2,678,0,0,193,48
76,MEEKER ,23149,21705,108,22,52,0,946,316,1541,1358,3,6,0,0,98,76
77,MOWER ,39931,30982,1468,54,1941,46,4746,694,5277,2278,320,1,670,0,616,1392
78,NOBLES ,21667,12640,811,75,1207,0,6165,769,2575,521,4,37,335,0,584,1094
79,OTTER TAIL ,58416,53920,653,220,277,0,2084,1262,5018,3891,281,37,0,0,341,468
80,PIPESTONE ,9163,8007,27,110,71,0,662,286,925,507,72,48,2,16,158,122
81,RAMSEY ,546598,332580,62897,2551,80543,141,41189,26697,71487,19640,17852,1624,16965,17,7606,7783
82,RENVILLE ,14572,12741,67,186,108,0,1268,202,1373,717,29,97,8,0,245,277
83,ROSEAU ,15259,13876,124,254,399,0,223,383,1133,971,6,67,11,0,28,50
84,SHERBURNE ,96015,86342,2658,403,1206,0,2577,2829,4953,2857,578,171,251,0,737,359
85,STEELE ,36710,31640,1225,119,150,6,2913,657,2887,1835,426,113,3,0,149,361
86,TODD ,24603,22002,143,104,160,7,1588,599,3276,2737,32,0,6,0,271,230
