,County [2],Latitude,Longitude
1314,Aitkin,+46.602446°,–93.419760°
1315,Anoka,+45.274110°,–93.242723°
1316,Becker,+46.937629°,–95.741757°
1317,Beltrami,+47.878825°,–94.986698°
1318,Benton,+45.701227°,–94.001440°
1319,Big Stone,+45.419925°,–96.402226°
1320,Blue Earth,+44.038225°,–94.064071°
1321,Brown,+44.246542°,–94.733647°
1322,Carlton,+46.603818°,–92.671044°
1323,Carver,+44.821381°,–93.800575°
1324,Cass,+46.951427°,–94.333773°
1325,Chippewa,+45.028625°,–95.564108°
1326,Chisago,+45.505444°,–92.903849°
1327,Clay,+46.898377°,–96.494901°
1328,Clearwater,+47.575873°,–95.371117°
1329,Cook,+47.538571°,–90.290190°
1330,Cottonwood,+44.010711°,–95.183130°
1331,Crow Wing,+46.491114°,–94.071213°
1332,Dakota,+44.670893°,–93.062481°
1333,Dodge,+44.020706°,–92.869353°
1334,Douglas,+45.936429°,–95.460610°
1335,Faribault,+43.676522°,–93.947234°
1336,Fillmore,+43.677270°,–92.093681°
1337,Freeborn,+43.674202°,–93.350289°
1338,Goodhue,+44.406178°,–92.716000°
1339,Grant,+45.930743°,–96.010699°
1340,Hennepin,+45.006064°,–93.475185°
1341,Houston,+43.666990°,–91.501556°
1342,Hubbard,+47.095551°,–94.913290°
1343,Isanti,+45.562431°,–93.296339°
1344,Itasca,+47.490843°,–93.613128°
1345,Jackson,+43.673025°,–95.149704°
1346,Kanabec,+45.947760°,–93.297788°
1347,Kandiyohi,+45.152714°,–95.004981°
1348,Kittson,+48.776040°,–96.780349°
1349,Koochiching,+48.245490°,–93.782842°
1350,Lac qui Parle,+44.999855°,–96.176836°
1351,Lake,+47.517111°,–91.411704°
1352,Lake of the Woods,+48.768100°,–94.904634°
1353,Le Sueur,+44.373397°,–93.730180°
1354,Lincoln,+44.408238°,–96.272032°
1355,Lyon,+44.409195°,–95.847268°
1356,McLeod,+44.821644°,–94.272320°
1357,Mahnomen,+47.325842°,–95.810703°
1358,Marshall,+48.362728°,–96.357761°
1359,Martin,+43.677118°,–94.537198°
1360,Meeker,+45.123156°,–94.527346°
1361,Mille Lacs,+45.929043°,–93.632996°
1362,Morrison,+46.020484°,–94.266619°
1363,Mower,+43.666249°,–92.759514°
1364,Murray,+44.015594°,–95.761581°
1365,Nicollet,+44.358820°,–94.245685°
1366,Nobles,+43.677686°,–95.763132°
1367,Norman,+47.329470°,–96.463807°
1368,Olmsted,+44.003430°,–92.406722°
1369,Otter Tail,+46.405725°,–95.714578°
1370,Pennington,+48.069247°,–96.037725°
1371,Pine,+46.100940°,–92.763094°
1372,Pipestone,+44.015361°,–96.257015°
1373,Polk,+47.774254°,–96.400027°
1374,Pope,+45.589623°,–95.446705°
1375,Ramsey,+45.015250°,–93.100141°
1376,Red Lake,+47.865487°,–96.087180°
1377,Redwood,+44.403536°,–95.254242°
1378,Renville,+44.723697°,–94.955617°
1379,Rice,+44.350943°,–93.298503°
1380,Rock,+43.669587°,–96.263238°
1381,Roseau,+48.761066°,–95.821530°
1382,St. Louis,+47.583852°,–92.463645°
1383,Scott,+44.651932°,–93.534553°
1384,Sherburne,+45.443171°,–93.775092°
1385,Sibley,+44.575734°,–94.230123°
1386,Stearns,+45.555235°,–94.610482°
1387,Steele,+44.015261°,–93.220453°
1388,Stevens,+45.593461°,–95.992315°
1389,Swift,+45.275450°,–95.690398°
1390,Todd,+46.066569°,–94.900576°
1391,Traverse,+45.769840°,–96.475049°
1392,Wabasha,+44.289693°,–92.233341°
1393,Wadena,+46.586784°,–94.988331°
1394,Waseca,+44.018460°,–93.589844°
1395,Washington,+45.037929°,–92.890117°
1396,Watonwan,+43.978366°,–94.614128°
1397,Wilkin,+46.362335°,–96.476657°
1398,Winona,+43.982268°,–91.776708°
1399,Wright,+45.175091°,–93.966397°
1400,Yellow Medicine,+44.715736°,–95.862756°
