,County,Population Total,Caucasian,African American,Native American,Asian,Hawaiian,Hispanic,Other
0,ANOKA ,353775,283436,23534,1788,16082,86,16769,12080
1,BECKER ,34227,29290,146,1938,209,6,738,1900
2,BELTRAMI ,46784,33506,399,8920,295,36,1114,2514
3,BENTON ,40476,35979,1876,49,378,0,1086,1108
4,BIG STONE ,4974,4787,3,3,0,0,102,79
5,BLUE EARTH ,67368,58852,2794,139,1516,15,2579,1473
6,BROWN ,25076,23354,179,65,166,0,1132,180
7,CARLTON ,35709,31459,909,1462,231,0,638,1010
8,CARVER ,103561,91429,1820,234,3167,6,4419,2486
9,CASS ,29462,23697,125,2740,155,5,683,2057
10,CHIPPEWA ,11876,10285,121,188,139,160,900,83
11,CHISAGO ,55844,51758,662,309,621,14,1283,1197
12,WATONWAN ,10903,7782,35,0,181,0,2819,86
13,WADENA ,13681,12699,109,50,44,0,276,503
14,CLAY ,64029,55375,2508,916,892,123,2976,1239
15,CLEARWATER ,8872,7512,17,645,50,0,202,446
16,COOK ,5402,4592,2,495,53,1,129,130
17,COTTONWOOD ,11279,9631,26,13,504,75,901,129
18,CROW WING ,64775,61215,538,534,276,0,969,1243
19,DAKOTA ,425271,328845,26711,825,20899,133,31069,16789
20,DODGE ,20807,19042,30,57,193,4,1043,438
21,DOUGLAS ,37820,36193,83,63,78,116,652,635
22,FARIBAULT ,13727,12376,39,27,49,0,976,260
23,FILLMORE ,21031,20087,97,9,115,0,364,359
24,GOODHUE ,46330,42182,544,358,350,0,1616,1280
25,GRANT ,5962,5658,16,20,1,0,142,125
26,HOUSTON ,18670,17695,193,22,102,2,229,427
27,HUBBARD ,21287,19714,112,447,97,0,495,422
28,ITASCA ,45180,40966,231,1396,150,52,708,1677
29,KANABEC ,16205,15335,35,76,116,0,268,375
30,KANDIYOHI ,42909,33945,2210,102,347,0,5365,940
31,KOOCHICHING ,12355,11254,70,299,52,0,164,516
32,LAC QUI PARLE ,6645,6288,34,15,59,0,157,92
33,LAKE OF THE WOODS ,3747,3447,3,69,3,0,3,222
34,LE SUEUR ,28425,25815,198,80,91,2,1796,443
35,LYON ,25696,21338,745,32,1217,2,1821,541
36,MCLEOD ,35788,32371,227,94,218,0,2317,561
37,MARSHALL ,9353,8716,39,29,28,0,424,117
38,MARTIN ,19737,18262,81,58,85,16,946,289
39,MILLE LACS ,25963,23000,103,1185,134,17,659,865
40,MORRISON ,33119,31638,53,31,111,0,585,701
41,MURRAY ,8247,7622,29,22,112,0,353,109
42,NICOLLET ,34176,30080,836,10,507,0,1595,1148
43,NORMAN ,6466,5766,46,141,34,0,342,137
44,OLMSTED ,156446,123695,9960,382,9239,112,7919,5139
45,PENNINGTON ,14110,12742,196,259,129,0,564,220
46,PINE ,29254,25970,599,695,199,10,871,910
47,POLK ,31384,26929,711,366,303,5,2091,979
48,POPE ,11107,10573,46,28,78,0,186,196
49,RED LAKE ,4005,3683,29,72,0,0,152,69
50,REDWOOD ,15193,13167,92,636,395,0,547,356
51,RICE ,66549,54255,3792,208,1393,30,5503,1368
52,ROCK ,9386,8752,56,77,102,0,301,98
53,ST. LOUIS ,199499,180204,3021,3310,1900,69,3580,7415
54,SCOTT ,147201,117972,6257,622,8601,1,7797,5951
55,SIBLEY ,14871,13091,137,37,99,0,1355,152
56,STEARNS ,159788,135291,10932,289,3410,0,5557,4309
57,STEVENS ,9770,8468,102,142,220,0,663,175
58,SWIFT ,9329,8417,148,38,30,81,491,124
59,TRAVERSE ,3282,2878,8,185,4,0,120,87
60,WABASHA ,21564,20379,109,67,129,0,652,228
61,WASECA ,18658,16601,258,255,149,0,1148,247
62,WASHINGTON ,259072,211750,12069,646,15852,139,11229,7387
63,WILKIN ,6264,5819,56,54,5,0,199,131
64,WINONA ,50744,46137,586,164,1322,0,1532,1003
65,WRIGHT ,136387,125212,2360,287,1735,8,4224,2561
66,YELLOW MEDICINE ,9775,8725,68,229,49,0,468,236
67,AITKIN ,15826,14831,61,327,40,9,216,342
68,FREEBORN ,30465,25706,335,41,784,0,3066,533
69,HENNEPIN ,1255296,852045,163432,6801,89753,360,87216,55689
70,ISANTI ,40004,37408,196,89,637,5,871,798
71,JACKSON ,9873,9082,26,3,219,0,377,166
72,KITTSON ,4272,4053,31,18,39,0,83,48
73,LAKE ,10571,10085,65,56,14,0,156,195
74,LINCOLN ,5641,5394,13,10,31,0,119,74
75,MAHNOMEN ,5508,2468,40,1963,19,5,257,756
76,MEEKER ,23149,21705,108,22,52,0,946,316
77,MOWER ,39931,30982,1468,54,1941,46,4746,694
78,NOBLES ,21667,12640,811,75,1207,0,6165,769
79,OTTER TAIL ,58416,53920,653,220,277,0,2084,1262
80,PIPESTONE ,9163,8007,27,110,71,0,662,286
81,RAMSEY ,546598,332580,62897,2551,80543,141,41189,26697
82,RENVILLE ,14572,12741,67,186,108,0,1268,202
83,ROSEAU ,15259,13876,124,254,399,0,223,383
84,SHERBURNE ,96015,86342,2658,403,1206,0,2577,2829
85,STEELE ,36710,31640,1225,119,150,6,2913,657
86,TODD ,24603,22002,143,104,160,7,1588,599
