County,African American,Asian,Caucasian,Hispanic,Native American,Other
ANOKA,2935,1781,24621,746,103,348
BECKER,0,0,2021,0,244,6
BELTRAMI,3,0,2249,0,1070,59
BENTON,116,4,4209,1,0,14
BLUE EARTH,230,30,4656,50,0,58
BROWN,0,0,1947,46,0,0
CARLTON,13,0,1920,0,97,7
CARVER,91,146,7403,179,0,98
CASS,0,0,1534,0,423,8
CHISAGO,28,16,4201,10,2,8
CLAY,212,20,5255,87,35,83
CROW WING,0,0,5132,0,0,4
DAKOTA,3517,1616,26733,1532,81,643
DODGE,0,0,1618,0,0,0
DOUGLAS,0,0,3341,0,0,4
FILLMORE,0,0,1286,0,0,0
FREEBORN,0,41,2391,141,0,0
GOODHUE,43,0,4091,7,0,31
HENNEPIN,17324,7526,65586,3411,870,1858
HUBBARD,0,0,1339,0,3,0
ISANTI,0,2,2890,0,0,5
ITASCA,0,0,3330,0,44,7
KANDIYOHI,134,0,3109,24,0,0
LE SUEUR,0,0,1726,22,0,0
LYON,32,18,1748,0,0,0
MCLEOD,0,0,3083,131,0,0
MEEKER,0,0,1640,0,0,0
MILLE LACS,0,0,1987,0,0,0
MORRISON,0,0,2768,0,0,0
MOWER,95,101,2866,266,0,20
NICOLLET,44,1,1929,15,0,3
NOBLES,53,77,858,144,0,0
OLMSTED,1146,548,11448,303,0,387
OTTER TAIL,17,0,3610,11,0,17
PINE,43,0,1683,27,23,0
POLK,13,0,2252,30,0,5
RAMSEY,6642,6919,23681,1494,249,2028
RICE,366,40,4121,235,30,48
SCOTT,683,580,10707,368,17,154
SHERBURNE,311,20,7514,32,31,46
ST. LOUIS,232,44,14880,71,332,353
STEARNS,1406,170,14089,58,7,129
STEELE,45,0,2772,122,0,8
TODD,0,0,1587,9,0,0
WABASHA,0,0,1665,0,0,0
WASHINGTON,1329,1493,17677,576,38,651
WINONA,34,5,4019,8,0,10
WRIGHT,160,68,10764,109,0,94
