,County,Two-Races,Population,Poverty,Infections,Poverty Rate,Infection Rate
0,AITKIN,Non-Caucasian,61.0,13.0,0.0,0.21311475409836064,0.0
1,AITKIN,Non-Caucasian,40.0,0.0,0.0,0.0,0.0
2,AITKIN,Caucasian,14831.0,1711.0,0.0,0.11536646214011193,0.0
3,AITKIN,Non-Caucasian,9.0,0.0,0.0,0.0,0.0
4,AITKIN,Non-Caucasian,216.0,45.0,0.0,0.20833333333333334,0.0
5,AITKIN,Non-Caucasian,327.0,82.0,0.0,0.25076452599388377,0.0
6,AITKIN,Non-Caucasian,342.0,61.0,0.0,0.1783625730994152,0.0
7,ANOKA,Non-Caucasian,23534.0,3697.0,2864.0,0.15709186708591824,0.12169626922750064
8,ANOKA,Non-Caucasian,16082.0,953.0,1732.0,0.05925879865688347,0.10769804750652903
9,ANOKA,Caucasian,283436.0,11778.0,24501.0,0.04155435442216232,0.08644279484610283
10,ANOKA,Non-Caucasian,86.0,0.0,0.0,0.0,0.0
11,ANOKA,Non-Caucasian,16769.0,1551.0,746.0,0.09249209851511718,0.044486850736478026
12,ANOKA,Non-Caucasian,1788.0,327.0,73.0,0.18288590604026847,0.04082774049217002
13,ANOKA,Non-Caucasian,12080.0,1964.0,348.0,0.16258278145695365,0.02880794701986755
14,BECKER,Non-Caucasian,146.0,17.0,0.0,0.11643835616438356,0.0
15,BECKER,Non-Caucasian,209.0,45.0,0.0,0.215311004784689,0.0
16,BECKER,Caucasian,29290.0,2296.0,1992.0,0.07838852850802322,0.06800955957664732
17,BECKER,Non-Caucasian,6.0,0.0,0.0,0.0,0.0
18,BECKER,Non-Caucasian,738.0,140.0,0.0,0.1897018970189702,0.0
19,BECKER,Non-Caucasian,1938.0,709.0,228.0,0.36584107327141385,0.11764705882352941
20,BECKER,Non-Caucasian,1900.0,381.0,2.0,0.2005263157894737,0.0010526315789473684
21,BELTRAMI,Non-Caucasian,399.0,310.0,3.0,0.7769423558897243,0.007518796992481203
22,BELTRAMI,Non-Caucasian,295.0,39.0,0.0,0.13220338983050847,0.0
23,BELTRAMI,Caucasian,33506.0,3657.0,2216.0,0.10914463081239181,0.06613740822539246
24,BELTRAMI,Non-Caucasian,36.0,0.0,0.0,0.0,0.0
25,BELTRAMI,Non-Caucasian,1114.0,371.0,0.0,0.33303411131059246,0.0
26,BELTRAMI,Non-Caucasian,8920.0,3056.0,1064.0,0.34260089686098655,0.11928251121076233
27,BELTRAMI,Non-Caucasian,2514.0,734.0,33.0,0.29196499602227527,0.013126491646778043
28,BENTON,Non-Caucasian,1876.0,333.0,104.0,0.17750533049040512,0.05543710021321962
29,BENTON,Non-Caucasian,378.0,73.0,0.0,0.1931216931216931,0.0
30,BENTON,Caucasian,35979.0,2605.0,4164.0,0.07240334639650907,0.11573417827065788
31,BENTON,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
32,BENTON,Non-Caucasian,1086.0,122.0,1.0,0.11233885819521179,0.0009208103130755065
33,BENTON,Non-Caucasian,49.0,19.0,0.0,0.3877551020408163,0.0
34,BENTON,Non-Caucasian,1108.0,205.0,12.0,0.18501805054151624,0.010830324909747292
35,BIG STONE,Non-Caucasian,3.0,0.0,0.0,0.0,0.0
36,BIG STONE,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
37,BIG STONE,Caucasian,4787.0,596.0,0.0,0.12450386463338207,0.0
38,BIG STONE,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
39,BIG STONE,Non-Caucasian,102.0,0.0,0.0,0.0,0.0
40,BIG STONE,Non-Caucasian,3.0,0.0,0.0,0.0,0.0
41,BIG STONE,Non-Caucasian,79.0,0.0,0.0,0.0,0.0
42,BLUE EARTH,Non-Caucasian,2794.0,756.0,213.0,0.2705798138869005,0.07623478883321402
43,BLUE EARTH,Non-Caucasian,1516.0,547.0,30.0,0.3608179419525066,0.01978891820580475
44,BLUE EARTH,Caucasian,58852.0,8047.0,4555.0,0.13673282131448378,0.07739753959083803
45,BLUE EARTH,Non-Caucasian,15.0,0.0,0.0,0.0,0.0
46,BLUE EARTH,Non-Caucasian,2579.0,457.0,50.0,0.17720046529662659,0.019387359441644048
47,BLUE EARTH,Non-Caucasian,139.0,32.0,0.0,0.2302158273381295,0.0
48,BLUE EARTH,Non-Caucasian,1473.0,671.0,21.0,0.45553292600135775,0.014256619144602852
49,BROWN,Non-Caucasian,179.0,12.0,0.0,0.0670391061452514,0.0
50,BROWN,Non-Caucasian,166.0,22.0,0.0,0.13253012048192772,0.0
51,BROWN,Caucasian,23354.0,1064.0,1886.0,0.04555964716964974,0.08075704376124004
52,BROWN,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
53,BROWN,Non-Caucasian,1132.0,284.0,46.0,0.2508833922261484,0.04063604240282685
54,BROWN,Non-Caucasian,65.0,48.0,0.0,0.7384615384615385,0.0
55,BROWN,Non-Caucasian,180.0,257.0,0.0,1.4277777777777778,0.0
56,CARLTON,Non-Caucasian,909.0,236.0,13.0,0.25962596259625964,0.014301430143014302
57,CARLTON,Non-Caucasian,231.0,20.0,0.0,0.08658008658008658,0.0
58,CARLTON,Caucasian,31459.0,2695.0,1838.0,0.08566705871133856,0.0584252519151912
59,CARLTON,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
60,CARLTON,Non-Caucasian,638.0,120.0,0.0,0.18808777429467086,0.0
61,CARLTON,Non-Caucasian,1462.0,367.0,64.0,0.25102599179206564,0.04377564979480164
62,CARLTON,Non-Caucasian,1010.0,239.0,6.0,0.23663366336633662,0.005940594059405941
63,CARVER,Non-Caucasian,1820.0,321.0,82.0,0.17637362637362639,0.045054945054945054
64,CARVER,Non-Caucasian,3167.0,130.0,123.0,0.041048310704136406,0.038838017050836754
65,CARVER,Caucasian,91429.0,2819.0,7256.0,0.03083266797186888,0.07936212799002505
66,CARVER,Non-Caucasian,6.0,6.0,0.0,1.0,0.0
67,CARVER,Non-Caucasian,4419.0,135.0,179.0,0.03054989816700611,0.04050690201403032
68,CARVER,Non-Caucasian,234.0,32.0,0.0,0.13675213675213677,0.0
69,CARVER,Non-Caucasian,2486.0,33.0,49.0,0.01327433628318584,0.019710378117457763
70,CASS,Non-Caucasian,125.0,30.0,0.0,0.24,0.0
71,CASS,Non-Caucasian,155.0,13.0,0.0,0.08387096774193549,0.0
72,CASS,Caucasian,23697.0,2243.0,1502.0,0.09465333164535596,0.06338355066042115
73,CASS,Non-Caucasian,5.0,0.0,0.0,0.0,0.0
74,CASS,Non-Caucasian,683.0,147.0,0.0,0.21522693997071743,0.0
75,CASS,Non-Caucasian,2740.0,994.0,195.0,0.3627737226277372,0.07116788321167883
76,CASS,Non-Caucasian,2057.0,348.0,0.0,0.16917841516771998,0.0
77,CHIPPEWA,Non-Caucasian,121.0,50.0,0.0,0.4132231404958678,0.0
78,CHIPPEWA,Non-Caucasian,139.0,52.0,0.0,0.37410071942446044,0.0
